,1. open,2. high,3. low,4. close,5. volume
2023-05-01 09:30:00,410.811,411.214,410.687,411.102,963038.0
2023-05-01 09:35:00,411.137,411.57,410.954,411.493,937816.0
2023-05-01 09:40:00,411.513,411.619,411.31,411.458,621055.0
2023-05-01 09:45:00,411.473,412.005,411.418,411.913,805647.0
2023-05-01 09:50:00,411.948,412.064,411.72,411.765,1525027.0
2023-05-01 09:55:00,411.79,411.847,411.606,411.695,551084.0
2023-05-01 10:00:00,411.691,411.698,411.072,411.359,1150065.0
2023-05-01 10:05:00,411.384,411.718,411.082,411.676,642058.0
2023-05-01 10:10:00,411.706,411.876,411.389,411.616,654291.0
2023-05-01 10:15:00,411.641,412.114,411.498,411.765,789582.0
2023-05-01 10:20:00,411.78,411.866,411.142,411.369,661340.0
2023-05-01 10:25:00,411.384,411.51,411.201,411.3,483941.0
2023-05-01 10:30:00,411.335,411.728,411.122,411.577,490802.0
2023-05-01 10:35:00,411.612,411.847,411.498,411.705,401558.0
2023-05-01 10:40:00,411.735,411.886,411.399,411.794,387047.0
2023-05-01 10:45:00,411.81,412.252,411.765,412.219,661783.0
2023-05-01 10:50:00,412.235,412.252,411.898,412.081,410468.0
2023-05-01 10:55:00,412.116,412.4,412.012,412.259,636606.0
2023-05-01 11:00:00,412.284,412.47,411.883,412.022,590758.0
2023-05-01 11:05:00,412.047,412.227,411.913,411.962,563974.0
2023-05-01 11:10:00,411.988,412.104,411.616,411.746,545974.0
2023-05-01 11:15:00,411.775,411.797,411.025,411.369,907935.0
2023-05-01 11:20:00,411.394,411.639,411.013,411.033,540389.0
2023-05-01 11:25:00,411.048,411.313,410.875,411.171,602639.0
2023-05-01 11:30:00,411.187,411.313,411.013,411.221,394989.0
2023-05-01 11:35:00,411.256,411.52,411.186,411.32,454151.0
2023-05-01 11:40:00,411.335,411.501,411.092,411.438,388055.0
2023-05-01 11:45:00,411.463,411.585,411.349,411.469,344371.0
2023-05-01 11:50:00,411.503,411.55,411.3,411.458,514174.0
2023-05-01 11:55:00,411.478,411.728,411.28,411.656,484899.0
2023-05-01 12:00:00,411.661,411.965,411.591,411.885,362973.0
2023-05-01 12:05:00,411.918,411.955,411.685,411.918,392623.0
2023-05-01 12:10:00,411.948,412.064,411.725,411.878,392836.0
2023-05-01 12:15:00,411.899,412.08,411.824,411.972,266408.0
2023-05-01 12:20:00,411.997,412.114,411.923,412.012,283073.0
2023-05-01 12:25:00,412.047,412.232,411.942,412.106,324623.0
2023-05-01 12:30:00,412.126,412.697,412.091,412.496,820779.0
2023-05-01 12:35:00,412.531,412.944,412.432,412.714,499651.0
2023-05-01 12:40:00,412.729,412.806,412.486,412.516,546153.0
2023-05-01 12:45:00,412.521,412.578,412.239,412.308,354275.0
2023-05-01 12:50:00,412.314,412.509,412.279,412.447,248577.0
2023-05-01 12:55:00,412.472,412.628,412.373,412.457,340516.0
2023-05-01 13:00:00,412.512,412.657,412.298,412.358,337873.0
2023-05-01 13:05:00,412.383,412.607,412.343,412.417,276686.0
2023-05-01 13:10:00,412.452,412.623,412.387,412.457,245754.0
2023-05-01 13:15:00,412.472,412.648,412.219,412.333,302060.0
2023-05-01 13:20:00,412.353,412.549,412.269,412.462,226756.0
2023-05-01 13:25:00,412.492,412.549,412.071,412.132,327328.0
2023-05-01 13:30:00,412.166,412.282,411.952,412.234,418702.0
2023-05-01 13:35:00,412.264,412.301,411.918,412.116,292927.0
2023-05-01 13:40:00,412.144,412.519,412.096,412.2,478637.0
2023-05-01 13:45:00,412.215,412.475,412.111,412.308,257906.0
2023-05-01 13:50:00,412.329,412.41,412.14,412.198,229615.0
2023-05-01 13:55:00,412.225,412.405,412.101,412.328,265496.0
2023-05-01 14:00:00,412.353,412.46,412.14,412.19,638222.0
2023-05-01 14:05:00,412.2,412.297,412.012,412.259,529351.0
2023-05-01 14:10:00,412.294,412.321,411.992,412.022,333798.0
2023-05-01 14:15:00,412.037,412.064,411.853,411.883,379806.0
2023-05-01 14:20:00,411.918,412.104,411.804,411.829,538317.0
2023-05-01 14:25:00,411.849,411.955,411.685,411.859,374238.0
2023-05-01 14:30:00,411.899,411.906,410.894,410.984,803720.0
2023-05-01 14:35:00,411.014,411.128,410.726,411.063,1050890.0
2023-05-01 14:40:00,411.088,411.352,410.816,411.231,684344.0
2023-05-01 14:45:00,411.256,411.318,411.005,411.191,359369.0
2023-05-01 14:50:00,411.226,411.318,410.993,411.231,511145.0
2023-05-01 14:55:00,411.256,411.54,411.132,411.389,504879.0
2023-05-01 15:00:00,411.414,411.56,411.082,411.191,502602.0
2023-05-01 15:05:00,411.226,411.431,411.191,411.27,460782.0
2023-05-01 15:10:00,411.305,411.441,411.161,411.226,508510.0
2023-05-01 15:15:00,411.246,411.253,410.944,411.082,550427.0
2023-05-01 15:20:00,411.117,411.377,411.043,411.211,705358.0
2023-05-01 15:25:00,411.246,411.283,411.043,411.107,532027.0
2023-05-01 15:30:00,411.137,411.303,410.974,411.053,615402.0
2023-05-01 15:35:00,411.078,411.115,410.603,410.667,988636.0
2023-05-01 15:40:00,410.692,411.016,410.573,410.934,841119.0
2023-05-01 15:45:00,410.949,411.342,410.914,411.211,1052730.0
2023-05-01 15:50:00,411.246,411.431,410.888,411.097,1964476.0
2023-05-01 15:55:00,411.108,411.352,410.825,410.845,3359387.0
2023-05-02 09:30:00,410.119,410.185,409.352,409.614,1704148.0
2023-05-02 09:35:00,409.634,409.691,409.135,409.441,915356.0
2023-05-02 09:40:00,409.461,409.602,409.164,409.352,650467.0
2023-05-02 09:45:00,409.372,409.622,409.253,409.313,672814.0
2023-05-02 09:50:00,409.328,409.454,409.135,409.232,730906.0
2023-05-02 09:55:00,409.258,409.305,408.976,409.174,563887.0
2023-05-02 10:00:00,409.249,409.473,408.571,408.62,1043487.0
2023-05-02 10:05:00,408.665,408.673,407.988,408.121,1393604.0
2023-05-02 10:10:00,408.151,408.218,407.098,407.394,1731457.0
2023-05-02 10:15:00,407.409,407.699,407.216,407.324,1415332.0
2023-05-02 10:20:00,407.35,407.427,406.317,406.396,1795041.0
2023-05-02 10:25:00,406.426,406.814,405.931,406.341,1600995.0
2023-05-02 10:30:00,406.366,406.379,405.501,405.554,1998571.0
2023-05-02 10:35:00,405.57,405.884,405.007,405.269,2011953.0
2023-05-02 10:40:00,405.289,405.647,405.17,405.269,1552262.0
2023-05-02 10:45:00,405.293,405.459,404.666,405.031,1273362.0
2023-05-02 10:50:00,405.036,405.33,404.354,404.745,1726247.0
2023-05-02 10:55:00,404.76,404.885,404.359,404.474,1279892.0
2023-05-02 11:00:00,404.483,404.638,403.509,404.201,2367508.0
2023-05-02 11:05:00,404.221,404.337,403.825,404.148,1301294.0
2023-05-02 11:10:00,404.171,404.411,403.944,404.087,989064.0
2023-05-02 11:15:00,404.097,404.391,403.894,403.944,1206880.0
2023-05-02 11:20:00,403.968,404.193,403.558,403.903,1064039.0
2023-05-02 11:25:00,403.929,404.005,403.588,403.815,856212.0
2023-05-02 11:30:00,403.84,404.005,403.212,403.716,1517643.0
2023-05-02 11:35:00,403.751,404.213,403.637,404.054,1073879.0
2023-05-02 11:40:00,404.087,404.618,404.033,404.51,1294948.0
2023-05-02 11:45:00,404.542,404.841,404.468,404.661,1016328.0
2023-05-02 11:50:00,404.68,404.737,403.667,404.201,1041760.0
2023-05-02 11:55:00,404.206,404.312,403.934,404.102,510615.0
2023-05-02 12:00:00,404.107,404.312,403.81,404.072,448406.0
